Domain,Threat_Type,Trigger_Context,Leaked_Data (Source),Leak_Method (Sink),Destination,Party_Check
www.naver.com,Isolated_Exfiltration (Rule 1) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,location.pathname,location.replace,https://ssl.pstatic.net/tveta/libs/glad/prod/3.8.0/gfp-display-sentry-logger.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (WCC Isolated)
www.naver.com,Isolated_Exfiltration (Rule 1) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,location.origin,location.replace,https://ssl.pstatic.net/tveta/libs/glad/prod/3.8.0/gfp-display-sentry-logger.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (WCC Isolated)
www.nexon.com,Isolated_Exfiltration (Rule 1) | Parasitic_Branch (Rule 2) | Dual_Execution_Context (Rule 3),AUTONOMOUS,Unknown,window.open,https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (WCC Isolated)
www.kakaocorp.com,DOM_Evasion (Rule 4) | Parasitic_Branch (Rule 2) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,location.href,LoadFrameInst.href (Evasion Suspected),https://connect.facebook.net/en_US/fbevents.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.nexon.com,DOM_Evasion (Rule 4) | Parasitic_Branch (Rule 2) | Dual_Execution_Context (Rule 3),AUTONOMOUS,Unknown,LoadFrameInst.href (Evasion Suspected),https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.nexon.com,DOM_Evasion (Rule 4) | Parasitic_Branch (Rule 2) | Dual_Execution_Context (Rule 3),AUTONOMOUS,Unknown,location.href (Evasion Suspected),https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.nexon.com,DOM_Evasion (Rule 4) | Dual_Execution_Context (Rule 3) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,location.href,LoadFrameInst.href (Evasion Suspected),https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.nexon.com,DOM_Evasion (Rule 4) | Dual_Execution_Context (Rule 3) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,location.href,createElement().href (Evasion Suspected),https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.nexon.com,DOM_Evasion (Rule 4) | Dual_Execution_Context (Rule 3) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,location.href,location.href (Evasion Suspected),https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.nexon.com,DOM_Evasion (Rule 4) | Dual_Execution_Context (Rule 3) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,location.hostname,LoadFrameInst.src (Evasion Suspected),https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.nexon.com,Dual_Execution_Context (Rule 3),AUTONOMOUS,Date,sessionStorage.setItem,https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.nexon.com,Dual_Execution_Context (Rule 3) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,location.href,window.open,https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.nexon.com,Dual_Execution_Context (Rule 3),AUTONOMOUS,Date,document.cookie,https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.nexon.com,Dual_Execution_Context (Rule 3),AUTONOMOUS,document.cookie,document.cookie,https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.instagram.com,DOM_Evasion (Rule 4) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,document.URL,LoadFrameInst.href (Evasion Suspected),https://www.facebook.com/ig_xsite_user_obid/ (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.kakaocorp.com,DOM_Evasion (Rule 4),AUTONOMOUS,Unknown,location.href (Evasion Suspected),https://connect.facebook.net/en_US/fbevents.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.kakaocorp.com,DOM_Evasion (Rule 4) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,location.hostname,LoadFrameInst.src (Evasion Suspected),https://connect.facebook.net/en_US/fbevents.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.naver.com,DOM_Evasion (Rule 4) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,location.href,location.href (Evasion Suspected),https://ssl.pstatic.net/tveta/libs/glad/prod/3.8.0/gfp-display-sentry-logger.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.naver.com,DOM_Evasion (Rule 4) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,Date,Image().src (Evasion Suspected),https://ssl.pstatic.net/tveta/libs/glad/prod/3.8.0/gfp-display-sentry-logger.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.naver.com,DOM_Evasion (Rule 4) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,location.origin,LoadFrameInst.src (Evasion Suspected),https://ssl.pstatic.net/tveta/libs/glad/prod/3.8.0/gfp-display-sentry-logger.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.kakaocorp.com,Fingerprinting_Leak (Rule 5) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,screen.width,window.open,https://connect.facebook.net/en_US/fbevents.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.kakaocorp.com,Fingerprinting_Leak (Rule 5) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,screen.height,window.open,https://connect.facebook.net/en_US/fbevents.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.naver.com,Fingerprinting_Leak (Rule 5) | Semantic_CrossValidation (Rule 5),AUTONOMOUS,screen.width,window.open,https://ssl.pstatic.net/tveta/libs/glad/prod/3.8.0/gfp-display-sentry-logger.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)


=== Final Statistical Report ===
Total domains scanned,4
Malicious tracker infected domains,4

[Detailed Evasion Technique Statistics]
Isolated Exfiltration (Rule 1),3 cases
Parasitic Branch (Rule 2),4 cases
Dual Execution Context (Rule 3),11 cases
DOM Evasion (Rule 4),13 cases
Semantic Cross-Validation (Rule 5),16 cases
  └ Fingerprinting Leak (Rule 5 sub-case),3 cases
Camouflaged 3rd-party leak,0 cases (Core finding!)
